block_number,price0,price1
15998066,16652.647682840823,1212.1390654946867
15998116,16664.19206146274,1212.2800377013905
15998166,16669.46376718593,1211.507311986333
15998216,16664.816803540147,1211.3209906716443
15998266,16639.54128590911,1210.244291504732
15998316,16581.446815610238,1207.9813839125156
15998366,16567.13892375121,1205.8095897703704
15998416,16559.380670419534,1205.3880865719655
15998466,16559.380670419534,1205.3880865719655
15998516,16550.60914288745,1206.171700810563
15998566,16545.164180880976,1205.5176244586473
15998616,16535.23813212167,1203.973750111446
15998666,16542.184466427687,1205.1387053110852
15998716,16548.760542187,1204.8720425133238
15998766,16534.240241125375,1205.0765024186069
15998816,16526.476788723434,1205.5908072603663
15998866,16523.484854149337,1205.0803294982861
15998916,16521.98888676389,1205.7419237583051
15998966,16521.41379530586,1205.6187257788642
15999016,16520.84673716425,1206.291636201164
15999066,16520.84673716425,1206.291636201164
15999116,16520.59738335896,1205.6681601462597
15999166,16530.30339326634,1206.0526330907558
15999216,16555.226312300798,1208.465415087482
15999266,16579.687887042004,1210.6343550079112
15999316,16603.64429410151,1211.1228393743274
15999366,16627.2862474402,1211.2246269421455
15999416,16593.567766412194,1211.0860473793362
15999466,16599.56497257692,1210.257230546364
15999516,16603.00564503402,1210.5572455166418
15999566,16603.00564503402,1210.5572455166418
15999616,16611.771356405756,1211.005977221561
15999666,16613.034095320254,1211.050655745338
15999716,16613.585728457467,1210.6710203563305
15999766,16609.48222041215,1209.7930979904397
15999816,16605.501480709558,1209.265499293091
15999866,16599.19598617776,1209.1541610157983
15999916,16597.566622322447,1209.7252631643767
15999966,16601.672556864796,1209.290738502505
16000016,16595.15393287928,1208.8021535520431
16000066,16598.740315709863,1209.2340646262317
16000116,16600.626863612175,1209.0418137545928
16000166,16600.87211313699,1208.376605562175
16000216,16593.08715961991,1208.254755450549
16000266,16607.130502921173,1210.1909155608207
16000316,16619.423820482003,1210.8571772626249
16000366,16651.54392189655,1212.9697315161284
16000416,16683.290509182934,1213.4054975872798
16000466,16687.39449904149,1212.5092355708573
16000516,16686.25084419295,1212.2905544669811
16000566,16686.25084419295,1212.2905544669811
16000616,16676.42275681261,1210.7288083162236
16000666,16674.433440392153,1210.498263142748
16000716,16677.297446146753,1211.0973785096971
16000766,16668.33545015817,1210.4027920012034
16000816,16660.78426942805,1210.8367416498022
16000866,16662.15898397196,1210.7382168757917
16000916,16668.040193299992,1209.1616701163746
16000966,16641.33336781836,1209.0517380376768
16001016,16637.876184380555,1208.668221183686
16001066,16625.03104809708,1207.3876238140804
16001116,16618.911070431746,1208.4793608947052
16001166,16616.82903312892,1206.248934408948
16001216,16615.927104609094,1205.9952431214506
16001266,16615.233275479237,1207.3055840410188
16001316,16614.87639163616,1207.7682317419283
16001366,16608.9116197757,1208.1278772676678
16001416,16605.33173467479,1208.233885218198
16001466,16600.108851753328,1207.6360771724162
16001516,16590.148027854764,1208.4717824259844
16001566,16574.36107297326,1208.517679973519
16001616,16566.32739158881,1207.6260420445003
16001666,16563.150583376104,1207.4486375777174
16001716,16568.58074635792,1208.3022987043898
16001766,16579.904937466,1207.7622704250366
16001816,16582.549617229663,1207.8805460885537
16001866,16584.40230818226,1207.5267219007767
16001916,16584.890451946267,1207.5235972774574
16001966,16585.196130811917,1205.7286743765142
16002016,16584.540308456344,1204.4620081970943
16002066,16553.173510246535,1203.0705427269115
16002116,16543.83658438635,1203.3657651786045
16002166,16535.61543439752,1204.109177988301
16002216,16533.31798143659,1203.958499992944
16002266,16536.38964523119,1204.4176498721042
16002316,16538.230691725425,1205.2985193184488
16002366,16539.938763424623,1205.4418367668263
16002416,16540.126877712588,1205.6957567331867
16002466,16551.251563421363,1206.8828364491806
16002516,16557.48228213468,1207.322623739609
16002566,16561.144666689106,1207.7559627220194
16002616,16561.85796301277,1208.449772773915
16002666,16562.070949367804,1208.3765601785751
16002716,16554.52558881958,1208.1554997272244
16002766,16552.229899648144,1207.7276386565532
16002816,16549.37424122406,1207.220433483913
16002866,16549.467753452907,1207.2287042884884
16002916,16546.452486643895,1206.3159713610094
16002966,16546.452486643895,1206.3159713610094
16003016,16546.27912183846,1208.2461215001258
16003066,16560.601272168708,1209.2856118785362
16003116,16576.84107322732,1210.0084614879
16003166,16582.365909150696,1209.5844954388087
16003216,16585.034684851817,1209.3025785129394
16003266,16586.577891929537,1209.840276350688
16003316,16587.459282345797,1210.3170772207425
16003366,16587.79656084229,1210.1982881588003
16003416,16584.229696627426,1209.8112470840929
16003466,16577.833392822162,1209.0792214033136
16003516,16572.485177595547,1209.0277036790449
16003566,16569.11450010381,1208.5636810720466
16003616,16567.730911629566,1208.7442828657872
16003666,16566.67803318155,1208.7782435396286
16003716,16566.55356173044,1208.9588384291249
16003766,16568.986889922922,1209.2471257388218
16003816,16575.21648919956,1209.3226765214326
16003866,16585.59981498256,1209.007838444983
16003916,16583.267716896567,1208.6557593545515
16003966,16590.336711890544,1209.5852068382644
16004016,16592.625280263703,1209.8579562076113
16004066,16594.39261437416,1209.4419088514117
16004116,16589.38454715834,1209.1593245846052
16004166,16586.318303131702,1208.8514010845854
16004216,16585.31665517294,1208.682477741065
16004266,16584.38613289131,1208.3374280389792
16004316,16582.952583519742,1207.7654601394672
16004366,16588.89214308337,1208.126702061736
16004416,16590.96705961313,1207.9313493455527
16004466,16580.79052793983,1208.1666010374386
